Year,Condition,Time
2019,Naming_NoInt,6.13
2019,Naming_NoInt,6.27
2019,Naming_NoInt,5.43
2019,Naming_NoInt,8.15
2019,Naming_NoInt,5.54
2019,Naming_NoInt,7.1
2019,Naming_NoInt,4.78
2019,Naming_NoInt,4.62
2019,Naming_NoInt,4.22
2019,Naming_NoInt,4.3
2020,Naming_NoInt,6.55
2020,Naming_NoInt,4.67
2020,Naming_NoInt,5.34
2020,Naming_NoInt,4.66
2020,Naming_NoInt,7.7
2020,Naming_NoInt,8.27
2020,Naming_NoInt,5.39
2020,Naming_NoInt,5.19
2020,Naming_NoInt,6
2020,Naming_NoInt,5.69
2020,Naming_NoInt,6
2020,Naming_NoInt,4.9
2020,Naming_NoInt,5.1
2020,Naming_NoInt,4.03
2020,Naming_NoInt,7.63
2020,Naming_NoInt,6.7
2020,Naming_NoInt,6.38
2020,Naming_NoInt,4.75
2020,Naming_NoInt,6.49
2020,Naming_NoInt,8.38
2020,Naming_NoInt,6.73
2020,Naming_NoInt,5.8
2020,Naming_NoInt,5.28
2020,Naming_NoInt,5.47
2021,Naming_NoInt,10.01
2021,Naming_NoInt,5.05
2021,Naming_NoInt,5.18
2021,Naming_NoInt,6.4
2021,Naming_NoInt,6.28
2021,Naming_NoInt,6.24
2021,Naming_NoInt,4.98
2021,Naming_NoInt,5.08
2021,Naming_NoInt,7.85
2021,Naming_NoInt,6.86
2021,Naming_NoInt,6.99
2021,Naming_NoInt,6.79
2021,Naming_NoInt,6.93
2021,Naming_NoInt,4.54
2021,Naming_NoInt,6.51
2021,Naming_NoInt,6.1
2021,Naming_NoInt,7.94
2021,Naming_NoInt,5.5
2021,Naming_NoInt,6.32
2021,Naming_NoInt,5.97
2021,Naming_NoInt,6.05
2021,Naming_NoInt,5.13
2021,Naming_NoInt,6.35
2021,Naming_NoInt,6.77
2021,Naming_NoInt,9.05
2021,Naming_NoInt,4.54
2021,Naming_NoInt,6.25
2021,Naming_NoInt,6.12
2021,Naming_NoInt,6.73
2021,Naming_NoInt,8.19
2021,Naming_NoInt,5.32
2015,Reading_Int,4.65
2015,Reading_Int,4.46
2015,Reading_Int,3.5
2015,Reading_Int,6.3
2015,Reading_Int,6.24
2015,Reading_Int,4.08
2015,Reading_Int,4.49
2015,Reading_Int,4.26
2015,Reading_Int,5.33
2015,Reading_Int,3.81
2015,Reading_Int,3.62
2015,Reading_Int,3.97
2015,Reading_Int,3.26
2015,Reading_Int,4.28
2016,Reading_Int,4.86
2016,Reading_Int,7.46
2016,Reading_Int,7.09
2016,Reading_Int,5.15
2016,Reading_Int,3.35
2016,Reading_Int,3.83
2016,Reading_Int,3.88
2016,Reading_Int,4.96
2016,Reading_Int,4.46
2016,Reading_Int,4.33
2016,Reading_Int,4.8
2016,Reading_Int,4.51
2016,Reading_Int,6.4
2016,Reading_Int,7.19
2016,Reading_Int,4.7
2016,Reading_Int,4.81
2016,Reading_Int,7.4
2016,Reading_Int,8
2016,Reading_Int,9.3
2016,Reading_Int,6
2016,Reading_Int,7.55
2016,Reading_Int,7.3
2016,Reading_Int,6
2016,Reading_Int,4.88
2016,Reading_Int,4.21
2016,Reading_Int,4.5
2016,Reading_Int,4.8
2016,Reading_Int,3.98
2016,Reading_Int,7.03
2016,Reading_Int,4.8
2016,Reading_Int,4.54
2016,Reading_Int,4.38
2016,Reading_Int,6.66
2016,Reading_Int,4.36
2016,Reading_Int,3.37
2016,Reading_Int,4.38
2016,Reading_Int,4.95
2016,Reading_Int,5.08
2016,Reading_Int,3.83
2016,Reading_Int,4.64
2016,Reading_Int,5.22
2017,Reading_Int,4.73
2017,Reading_Int,6.62
2017,Reading_Int,4.93
2017,Reading_Int,4.13
2017,Reading_Int,4.26
2017,Reading_Int,3.32
2017,Reading_Int,3.98
2017,Reading_Int,7.1
2017,Reading_Int,6.66
2017,Reading_Int,3.92
2017,Reading_Int,8.84
2017,Reading_Int,7.36
2017,Reading_Int,6.04
2017,Reading_Int,7.83
2017,Reading_Int,4.95
2017,Reading_Int,4.9
2017,Reading_Int,5
2017,Reading_Int,4.53
2017,Reading_Int,4.25
2017,Reading_Int,4.38
2017,Reading_Int,4.06
2017,Reading_Int,4.03
2017,Reading_Int,4.15
2017,Reading_Int,5.66
2017,Reading_Int,6.92
2017,Reading_Int,5.7
2017,Reading_Int,5
2017,Reading_Int,5.1
2017,Reading_Int,4.5
2017,Reading_Int,5.2
2017,Reading_Int,4
2017,Reading_Int,14.56
2017,Reading_Int,4.97
2017,Reading_Int,5.16
2018,Reading_Int,4.42
2018,Reading_Int,6.35
2018,Reading_Int,4.9
2018,Reading_Int,5
2018,Reading_Int,4.3
2018,Reading_Int,4.4
2018,Reading_Int,4
2018,Reading_Int,6.3
2018,Reading_Int,7.6
2018,Reading_Int,5.2
2018,Reading_Int,3.63
2018,Reading_Int,4.35
2018,Reading_Int,4
2018,Reading_Int,3
2018,Reading_Int,6.63
2019,Reading_Int,8.13
2019,Reading_Int,4.78
2019,Reading_Int,5.28
2019,Reading_Int,3.99
2019,Reading_Int,5.09
2019,Reading_Int,6.06
2019,Reading_Int,4.52
2019,Reading_Int,4.21
2019,Reading_Int,3.99
2019,Reading_Int,4.71
2019,Reading_Int,5.54
2019,Reading_Int,7.23
2019,Reading_Int,9.58
2019,Reading_Int,4.94
2019,Reading_Int,5.31
2019,Reading_Int,14.71
2019,Reading_Int,11.85
2019,Reading_Int,5.68
2019,Reading_Int,7.26
2019,Reading_Int,4.78
2019,Reading_Int,4.16
2019,Reading_Int,4.76
2019,Reading_Int,3.53
2020,Reading_Int,4.93
2020,Reading_Int,4.6
2020,Reading_Int,3.57
2020,Reading_Int,3.83
2020,Reading_Int,4.81
2020,Reading_Int,5.75
2020,Reading_Int,8.08
2020,Reading_Int,5.4
2020,Reading_Int,4.7
2020,Reading_Int,5.26
2020,Reading_Int,5.7
2020,Reading_Int,7.6
2020,Reading_Int,3.91
2020,Reading_Int,4.04
2020,Reading_Int,5.27
2020,Reading_Int,5.18
2020,Reading_Int,5.11
2020,Reading_Int,4.33
2020,Reading_Int,5.8
2020,Reading_Int,4.2
2020,Reading_Int,4.06
2020,Reading_Int,4.91
2020,Reading_Int,3.28
2020,Reading_Int,4.64
2021,Reading_Int,5.95
2021,Reading_Int,5.93
2021,Reading_Int,4.39
2021,Reading_Int,6.06
2021,Reading_Int,9.55
2021,Reading_Int,6.96
2021,Reading_Int,4.91
2021,Reading_Int,6.99
2021,Reading_Int,10.47
2021,Reading_Int,29.47
2021,Reading_Int,6.22
2021,Reading_Int,7.03
2021,Reading_Int,9.62
2021,Reading_Int,4.81
2021,Reading_Int,10.21
2021,Reading_Int,5.05
2021,Reading_Int,5.53
2021,Reading_Int,6.45
2021,Reading_Int,4.6
2021,Reading_Int,5.28
2021,Reading_Int,5.72
2021,Reading_Int,7.12
2021,Reading_Int,6.28
2021,Reading_Int,7.09
2021,Reading_Int,6.17
2021,Reading_Int,5.29
2021,Reading_Int,4.28
2021,Reading_Int,5.49
2021,Reading_Int,5.16
2021,Reading_Int,5.51
2021,Reading_Int,4.59
